"","env1","env2","env3","env4","env5","env6","lat","long"
"s__Rhodanobacter_denitrificans",0.34697,0.16141,0.37912,0.0497,0.15438,0.46588,0.93124,0.72923
"s__Caulobacter_fusiformis",0.07113,0.76452,0.96434,0.30609,0.35822,0.3658,0.90745,0.54188
"s__un_g__Micromonospora",0.44466,0.9243,0.72266,0.44625,0.68731,0.6149,0.56516,0.91398
"s__Ilumatobacter_fluminis",0.73958,0.677,0.0574,0.03273,0.19479,0.35626,0.91292,0.35589
"s__un_o__Acidimicrobiales",0.34628,0.75203,0.58664,0.32078,0.026,0.57067,0.41234,0.79632
"s__Aeromicrobium_panaciterrae",0.10382,0.87866,0.1711,0.08535,0.92756,0.81471,0.45113,0.14565
"s__Methyloceanibacter_caenitepidi",0.64538,0.46225,0.4195,0.39002,0.32676,0.22557,0.16533,0.82195
"s__un_o__Solirubrobacterales",0.36591,0.61168,0.69788,0.97484,0.48348,0.13774,0.11581,0.14461
"s__un_f__Rhizobiaceae",0.67292,0.38823,0.92856,0.44195,0.83712,0.77295,0.59519,0.97559
"s__un_c__Alphaproteobacteria",0.1353,0.18095,0.85776,0.35573,0.87668,0.97904,0.91277,0.43613
"s__un_g__Paenibacillus",0.63599,0.44515,0.54991,0.76031,0.85167,0.11101,0.16004,0.78503
"s__un_g__Roseateles",0.43663,0.62208,0.81596,0.52572,0.5925,0.60797,0.47094,0.15759
"s__un_f__Hyphomicrobiaceae",0.65298,0.9493,0.11635,0.38755,0.99301,0.51628,0.25699,0.2561
"s__un_g__Oscillochloris",0.85298,0.49095,0.56643,0.03013,0.44778,0.67051,0.43473,0.86765
"s__Phyllobacterium_myrsinacearum",0.43267,0.4212,0.27186,0.07134,0.04623,0.67237,0.0658,0.81368
"s__Streptomyces_bangladeshensis",0.82692,0.8251,0.0514,0.6276,0.00532,0.62517,0.2357,0.06251
"s__Mesorhizobium_gobiense",0.46593,0.23304,0.41319,0.63374,0.22794,0.77599,0.48287,0.52136
"s__Sorangium_cellulosum",0.28319,0.24992,0.12867,0.09334,0.62482,0.24801,0.66284,0.56482
"s__un_f__Polyangiaceae",0.9296,0.11086,0.23518,0.51707,0.26125,0.82982,0.09568,0.86704
"s__Pedomicrobium_manganicum",0.22461,0.59005,0.31281,0.28599,0.3424,0.11986,0.50929,0.71055
"s__un_g__Hyphomicrobium",0.02569,0.746,0.50711,0.60309,0.31336,0.58757,0.95074,0.76667
"s__un_g__Catellatospora",0.69911,0.41471,0.25139,0.65394,0.0949,0.41819,0.97206,0.32074
"s__Paraherbaspirillum_soli",0.09536,0.20446,0.06037,0.02561,0.1223,0.90076,0.50021,0.22187
"s__un_o__Chloroflexales",0.39354,0.42163,0.60814,0.84311,0.15595,0.54346,0.18671,0.763
"s__Turneriella_parva",0.28892,0.60152,0.91255,0.40771,0.28141,0.8876,0.55172,0.22525
"s__un_g__Arenimonas",0.45956,0.22785,0.74258,0.95392,0.93449,0.75398,0.84449,0.05169
"s__un_g__Glycomyces",0.79282,0.03989,0.54522,0.01799,0.21625,0.6386,0.07535,0.03417
"s__un_f__Sphingomonadaceae",0.6939,0.30498,0.6152,0.81147,0.09962,0.63467,0.57338,0.90035
"s__un_g__Pedomicrobium",0.16478,0.41359,0.04792,0.687,0.26292,0.51308,0.65625,0.79035
"s__un_g__Sphingobium",0.28315,0.32721,0.2804,0.58461,0.80878,0.77347,0.95818,0.40235
"s__Acidovorax_soli",0.03553,0.0528,0.51211,0.85323,0.08854,0.97801,0.66131,0.68295
"s__Hyphomicrobium_sulfonivorans",0.26703,0.45178,0.93507,0.75763,0.66753,0.14511,0.80164,0.92509
"s__Asticcacaulis_solisilvae",0.67912,0.75084,0.34893,0.72517,0.14149,0.96936,0.21318,0.44111
"s__Rhizobium_subbaraonis",0.2563,0.04463,0.32942,0.18254,0.85407,0.23108,0.19148,0.1693
"s__Devosia_pacifica",0.59022,0.60666,0.11204,0.21221,0.99665,0.31982,0.11392,0.3059
"s__Roseiflexus_castenholzii",0.77583,0.63044,0.32554,0.56086,0.26766,0.31198,0.97016,0.54998
"s__un_f__Phyllobacteriaceae",0.70121,0.97818,0.92075,0.97473,0.26231,0.45423,0.07631,0.53759
"s__Bacillus_abyssalis",0.89752,0.27359,0.06586,0.55095,0.19141,0.38617,0.65033,0.92214
"s__un_g__Pseudoxanthomonas",0.05654,0.21307,0.20671,0.49032,0.41166,0.41348,0.66272,0.18159
"s__Aquabacterium_commune",0.1237,0.25741,0.34321,0.10328,0.60445,0.27134,0.67897,0.81758
"s__Conexibacter_arvalis",0.5965,0.65754,0.48411,0.88056,0.63563,0.19075,0.62065,0.42448
"s__un_f__Xanthobacteraceae",0.40329,0.97383,0.12689,0.58017,0.50144,0.41261,0.16539,0.19345
"s__un_g__Lechevalieria",0.60065,0.76856,0.49984,0.05971,0.8509,0.20813,0.48591,0.90225
"s__Arenimonas_daejeonensis",0.15979,0.23145,0.28393,0.32678,0.65044,0.90167,0.93605,0.22572
"s__un_g__Actinophytocola",0.19582,0.29845,0.04407,0.49473,0.21381,0.0329,0.61272,0.27176
"s__Cellvibrio_ostraviensis",0.89499,0.80875,0.94402,0.00393,0.48897,0.79169,0.6062,0.6541
"s__Couchioplanes_caeruleus_subsp._azureus",0.46276,0.34652,0.22889,0.92606,0.9424,0.6061,0.95188,0.59698
"s__Rhizobium_laguerreae",0.64125,0.86671,0.09026,0.8726,0.56692,0.41807,0.8144,0.47821
"s__un_g__Ramlibacter",0.22218,0.77177,0.14022,0.5686,0.78032,0.96025,0.91001,0.64449
"s__un_g__Ilumatobacter",0.22203,0.09722,0.28369,0.9354,0.53422,0.51818,0.82279,0.17448
"s__un_g__Gp10",0.61617,0.85298,0.02661,0.42676,0.26124,0.15971,0.5992,0.6366
"s__un_g__Clostridium_sensu_stricto",0.50546,0.07286,0.24552,0.48808,0.18321,0.87199,0.96003,0.64138
"s__Microbacterium_aerolatum",0.71129,0.29679,0.66785,0.97629,0.9737,0.38438,0.7935,0.17548
"s__Nocardioides_jensenii",0.44376,0.84007,0.13714,0.54378,0.49262,0.36556,0.19703,0.28886
"s__Duganella_radicis",0.29015,0.17186,0.145,0.35939,0.29463,0.56078,0.73971,0.60551
"s__Variovorax_soli",0.41089,0.82396,0.55802,0.63062,0.82249,0.09814,0.05723,0.18813
"s__Cellulomonas_humilata",0.36314,0.97927,0.52997,0.63888,0.43547,0.09852,0.22279,0.66248
"s__un_f__Planctomycetaceae",0.64461,0.54886,0.06561,0.35285,0.14696,0.52502,0.38723,0.02586
"s__Rubrobacter_bracarensis",0.23269,0.82825,0.32669,0.40246,0.18406,0.30889,0.48535,0.02973
"s__un_g__Geobacter",0.36959,0.92627,0.22919,0.73914,0.81751,0.75412,0.15817,0.54687
"s__Lysobacter_panacisoli",0.10228,0.63197,0.34758,0.00204,0.65361,0.58282,0.51364,0.57184
"s__Rhizocola_hellebori",0.44533,0.59294,0.03854,0.88521,0.00361,0.55873,0.50426,0.03309
"s__un_f__Intrasporangiaceae",0.32569,0.28771,0.20047,0.50796,0.10827,0.39016,0.4302,0.20876
"s__Shinella_kummerowiae",0.20178,0.57788,0.0319,0.03773,0.22451,0.43386,0.80454,0.07866
"s__Planifilum_composti",0.54726,0.06603,0.41322,0.61157,0.00959,0.99855,0.8117,0.86271
"s__Nocardioides_dilutus",0.7558,0.66053,0.29326,0.7679,0.19549,0.41558,0.08675,0.15534
"s__un_g__Nitrospira",0.53189,0.29509,0.11498,0.42707,0.8627,0.04587,0.27632,0.43438
"s__Pseudomonas_soli",0.3621,0.11742,0.01452,0.0088,0.47475,0.92842,0.26298,0.37627
"s__un_g__Achromobacter",0.71636,0.0129,0.51218,0.34128,0.66073,0.31011,0.02723,0.0919
"s__un_o__Xanthomonadales",0.50317,0.96594,0.98564,0.75775,0.51198,0.61717,0.49947,0.83849
"s__un_f__Hyphomonadaceae",0.39366,0.3672,0.50695,0.41117,0.11514,0.86351,0.98776,0.01706
"s__un_o__Sphingomonadales",0.06901,0.45922,0.79541,0.66566,0.78455,0.63018,0.44355,0.74717
"s__Aquabacterium_parvum",0.5679,0.38383,0.15548,0.07104,0.27275,0.43451,0.42241,0.59218
"s__un_f__Beijerinckiaceae",0.76984,0.23613,0.48374,0.93402,0.69096,0.0005,0.41918,0.17089
"s__Bdellovibrio_bacteriovorus",0.92894,0.02895,0.35248,0.19891,0.51132,0.66916,0.31436,0.07352
"s__un_g__Vasilyevaea",0.76734,0.7984,0.00985,0.39923,0.04957,0.07935,0.84488,0.64355
"s__Ferrovibrio_denitrificans",0.69937,0.74177,0.63151,0.05894,0.63643,0.58155,0.92793,0.80249
"s__Microvirga_guangxiensis",0.23145,0.23218,0.0297,0.4069,0.34823,0.13656,0.66844,0.08196
"s__un_g__Ralstonia",0.96951,0.43406,0.76296,0.8264,0.00895,0.22051,0.67707,0.99098
"s__un_f__Enterobacteriaceae",0.55453,0.08872,0.50412,0.63467,0.77396,0.39395,0.437,0.27712
"s__Polyangium_fumosum",0.47338,0.5643,0.24496,0.01611,0.46863,0.60355,0.87206,0.18829
"s__un_g__Gp6",0.21954,0.94762,0.13436,0.27759,0.3047,0.0887,0.89203,0.23406
"s__un_f__Rhodospirillaceae",0.78144,0.4338,0.0003,0.17175,0.19927,0.41522,0.94789,0.05815
"s__Rhizobium_vignae",0.28147,0.59465,0.81604,0.45224,0.65481,0.26874,0.52441,0.16867
"s__Pseudonocardia_adelaidensis",0.18136,0.0946,0.64837,0.90244,0.55511,0.45547,0.58112,0.01944
"s__un_g__Luteolibacter",0.97335,0.74175,0.56779,0.28844,0.3628,0.52534,0.55962,0.10496
"s__un_o__Desulfuromonadales",0.89601,0.51422,0.1601,0.79511,0.02487,0.40728,0.45693,0.60875
"s__un_f__Chlamydiaceae",0.63881,0.31084,0.30618,0.9723,0.44605,0.09355,0.7229,0.5265
"s__un_g__Marmoricola",0.17488,0.40362,0.14439,0.33373,0.68161,0.66118,0.55581,0.14277
"s__Shinella_zoogloeoides",0.30364,0.55247,0.56481,0.46353,0.8248,0.21658,0.38303,0.17657
"s__Rhizobium_nepotum",0.9758,0.32257,0.62992,0.33101,0.40269,0.9807,0.94294,0.30463
"s__Sphingosinicella_vermicomposti",0.38363,0.61348,0.98979,0.48009,0.81993,0.08639,0.73083,0.39866
"s__un_g__Gp17",0.23961,0.98567,0.27998,0.37191,0.80066,0.97088,0.87827,0.122
"s__un_g__Blastococcus",0.23891,0.75533,0.72439,0.19294,0.3283,0.623,0.62279,0.56768
"s__Haliangium_tepidum",0.39071,0.51165,0.06893,0.07721,0.51589,0.54391,0.95074,0.60784
"s__un_f__Spirochaetaceae",0.18114,0.20034,0.95576,0.73957,0.82461,0.70985,0.47382,0.57296
"s__un_g__Cellulomonas",0.87208,0.61558,0.06022,0.40093,0.01191,0.14637,0.83408,0.55766
"s__Herbaspirillum_aquaticum",0.9761,0.88545,0.83092,0.67394,0.16759,0.60382,0.23795,0.39805
"s__Brevundimonas_kwangchunensis",0.27473,0.233,0.14529,0.71073,0.82259,0.75835,0.98108,0.11924
"s__un_g__Microvirga",0.1521,0.00915,0.41909,0.16364,0.29488,0.69131,0.30617,0.23116
"s__Microbacterium_arthrosphaerae",0.9326,0.27814,0.30827,0.88871,0.9925,0.04298,0.63093,0.34213
"s__Bosea_massiliensis",0.85613,0.24855,0.00546,0.72195,0.33665,0.75963,0.43088,0.79398
"s__un_f__Bacillaceae_1",0.51612,0.05896,0.36525,0.77323,0.59398,0.56568,0.29925,0.79443
"s__Rhizobium_rosettiformans",0.13607,0.94353,0.43409,0.24399,0.32703,0.00057,0.9034,0.08754
"s__un_g__Intrasporangium",0.48842,0.83088,0.85025,0.00564,0.74958,0.25955,0.78862,0.3439
"s__Pseudonocardia_xinjiangensis",0.54038,0.53578,0.93845,0.08027,0.54285,0.65343,0.51871,0.5578
"s__Cellulomonas_hominis",0.51216,0.92317,0.9738,0.91273,0.56552,0.75459,0.20635,0.88863
"s__Blastococcus_saxobsidens",0.03486,0.3684,0.63727,0.78066,0.18255,0.9843,0.17935,0.06284
"s__un_g__Saccharothrix",0.91068,0.28203,0.40114,0.06932,0.30542,0.67505,0.83254,0.79267
"s__un_f__Rhodocyclaceae",0.5583,0.00633,0.17126,0.57926,0.48592,0.14678,0.17866,0.03416
"s__Ilumatobacter_nonamiense",0.43034,0.31915,0.00693,0.75619,0.89634,0.25097,0.99225,0.81125
"s__Chryseobacterium_defluvii",0.40432,0.14334,0.65276,0.95452,0.03305,0.71499,0.83208,0.56784
"s__un_g__Planifilum",0.1707,0.32829,0.22483,0.82659,0.01293,0.63518,0.83509,0.027
"s__un_f__Caulobacteraceae",0.66795,0.44355,0.26168,0.89989,0.39188,0.64262,0.28367,0.96486
